,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
298,cyber1pzyt3y68zcnvl7hkvuffqfedccaptf6n0j4unq,1160000.0,,,,,1160000.0
299,cyber1wh5gfxyz8x95qyjlc2s24h3czr60vfeh2nx73q,1160000.0,,,,,1160000.0
300,cyber1pvu65ccqw3fmgq88j2j485wc6qm96nx7nxvgz5,1160000.0,,,,,1160000.0
301,cyber1pzxnpyvxr6x9z64y6w3ctv0cvcx9sp90a0p7dj,1160000.0,,,,,1160000.0
302,cyber1z3u9w3vyq6sw7ndxcdpjkgvlj0qaqm6s9qzfvu,1160000.0,,,,,1160000.0
303,cyber1njpfrygstn6r5awzp77keyhkl3wfhzmvf6e6t4,1160000.0,,,,,1160000.0
304,cyber15ak23s0usm36hv2e4kajhe0yx592hw473eznpa,1160000.0,,,,,1160000.0
305,cyber1gffprg0nuvj9ve39s9rjhjp04u7k8xwahjce75,1160000.0,,,,,1160000.0
306,cyber1ke9xxd3d6y0ttduac062zvv3r0jtakvhj5nr9l,1160000.0,,,,,1160000.0
307,cyber1yq5h0gjxuup83hdz53utukwhkkz684mk484907,1160000.0,,,,,1160000.0
308,cyber19rfaqnnz5fy3qct8qxzany94t2p7h0rrux8yvl,1159000.0,,,,,1159000.0
309,cyber15y8g5ggq2lslncdnlcscqygyesefmjy00dtxwv,1129000.0,,,,,1129000.0
310,cyber1h9k38zr5a532jzl0hsker9qz785m822zlca7fg,1108000.0,,,,,1108000.0
311,cyber1zy3nxgwtw9hr99tzfaxasgwklm9ev843d2074z,1100000.0,,,,,1100000.0
312,cyber1d66wegxpllcsnrzv9saqugpk2dausa837cvm2l,1099000.0,,,,,1099000.0
313,cyber1vmfs06hv80gc8jcpzu93ld4494azendxd9vva4,1099000.0,,,,,1099000.0
314,cyber15njl9exppdfms5fg4zz9wafn4a95lfj3t3car6,1084000.0,,,,,1084000.0
